Id,Name,Portrait,CardYellowBg,Height,Weight,Nationality,Position,AdaptPosition,Number,Quality,Ability,AbilityRatio,ExtraAbility,PositionRatio,PiecesId,PiecesCount,Skills,ExtractWeight,GiftIds,Desc,Param,Power,RecruitWords,IsRetire,PeakYear,PeakLogo,Sale
103001,余嘉豪,103001,0,221,130,0,3,[5],11,3,"{""1"":80,""2"":89,""3"":60,""4"":75,""5"":69,""6"":86,""7"":89,""8"":86,""9"":88,""10"":89}","{""1"":88,""2"":97,""3"":66,""4"":82,""5"":75,""6"":94,""7"":97,""8"":94,""9"":96,""10"":97}",0,"{""1"":40,""2"":40,""3"":70,""4"":80,""5"":100}",303001,30,[5],5,"[103001110,103001210,103001310]",司职中锋，有身高有吨位，灵活性也不错。在进攻端不仅具备一定的吃饼能力，而且还有一手不错离谱的中距离投篮。,,89,,0,,,0
103002,钟诚,103002,0,205,124,0,2,"[4,5]",12,3,"{""1"":71,""2"":79,""3"":77,""4"":78,""5"":88,""6"":89,""7"":77,""8"":68,""9"":94,""10"":82}","{""1"":78,""2"":86,""3"":84,""4"":85,""5"":96,""6"":97,""7"":84,""8"":74,""9"":103,""10"":90}",0,"{""1"":40,""2"":40,""3"":80,""4"":100,""5"":90}",303002,30,[36],5,"[103002110,103002210,103002310]",司职大前锋，全能型中锋，投射面积大，能够拉开空间，能够护筐，还有一手传球能力。,,88,,0,,,0
103003,刘东,103003,0,209,107,0,3,"[5,4]",15,3,"{""1"":76,""2"":86,""3"":65,""4"":75,""5"":75,""6"":85,""7"":84,""8"":83,""9"":84,""10"":85}","{""1"":83,""2"":94,""3"":71,""4"":82,""5"":82,""6"":93,""7"":92,""8"":91,""9"":92,""10"":93}",0,"{""1"":40,""2"":40,""3"":70,""4"":90,""5"":100}",303003,30,[16],5,"[103003110,103003210,103003310]",司职中锋，有打无球的能力，同时他在场上积极努力的态度会对球队产生积极的影响，这对任何球队来说都是非常有价值的。,,87,,0,,,0
103004,王奕博,103004,0,182,88,0,1,"[1,2]",15,3,"{""1"":77,""2"":66,""3"":89,""4"":90,""5"":75,""6"":71,""7"":60,""8"":69,""9"":88,""10"":85}","{""1"":84,""2"":72,""3"":97,""4"":99,""5"":82,""6"":78,""7"":66,""8"":75,""9"":96,""10"":93}",0,"{""1"":100,""2"":90,""3"":50,""4"":40,""5"":40}",303004,30,[12],5,"[103004110,103004210,103004310]",司职后卫，拼抢非常积极，在场上防守非常拼命，进攻端能突能投，还能够组织串联，体能非常充沛。,,84,,0,,,0
103005,于德豪,103005,0,190,92,0,1,"[1,2]",19,3,"{""1"":72,""2"":75,""3"":93,""4"":87,""5"":89,""6"":84,""7"":60,""8"":68,""9"":86,""10"":77}","{""1"":79,""2"":82,""3"":102,""4"":95,""5"":97,""6"":92,""7"":66,""8"":74,""9"":94,""10"":84}",0,"{""1"":100,""2"":90,""3"":50,""4"":40,""5"":40}",303005,30,[31],5,"[103005110,103005210,103005310]",司职控球后卫，有身高，速度快，作风顽强，防卫积极，技术全面，完整具备了打二号位的才能。,,87,,0,,,0
103006,袁堂文,103006,0,183,78,0,1,[1],3,3,"{""1"":61,""2"":68,""3"":94,""4"":91,""5"":94,""6"":87,""7"":60,""8"":63,""9"":82,""10"":78}","{""1"":67,""2"":74,""3"":103,""4"":100,""5"":103,""6"":95,""7"":66,""8"":69,""9"":90,""10"":85}",0,"{""1"":100,""2"":80,""3"":50,""4"":40,""5"":40}",303006,30,[17],5,"[103006110,103006210,103006310]",司职后卫，防守端不遗余力，拥有一定的传球能力。,,85,,0,,,0
103007,黎伊扬,103007,0,181,81,0,1,[1],10,3,"{""1"":71,""2"":72,""3"":91,""4"":86,""5"":85,""6"":80,""7"":60,""8"":64,""9"":85,""10"":79}","{""1"":78,""2"":79,""3"":100,""4"":94,""5"":93,""6"":88,""7"":66,""8"":70,""9"":93,""10"":86}",0,"{""1"":100,""2"":80,""3"":50,""4"":40,""5"":40}",303007,30,[20],5,"[103007110,103007210,103007310]",司职组织后卫，有一定的球商、传球技巧、抢断能力、人球结合能力。身体素质也非常好，很有爆发力。,,85,,0,,,0
103008,王洪,103008,0,182,73,0,1,"[1,2]",22,3,"{""1"":61,""2"":69,""3"":88,""4"":90,""5"":95,""6"":89,""7"":62,""8"":62,""9"":80,""10"":76}","{""1"":67,""2"":75,""3"":96,""4"":99,""5"":104,""6"":97,""7"":68,""8"":68,""9"":88,""10"":83}",0,"{""1"":100,""2"":90,""3"":50,""4"":40,""5"":40}",303008,30,[20],5,"[103008110,103008210,103008310]",司职后卫，擅长组织进攻，助攻多，防守出色，手很快特别善于抢断。,,85,,0,,,0
103009,李原宇,103009,0,206,127,0,3,"[5,4]",15,3,"{""1"":71,""2"":83,""3"":66,""4"":75,""5"":76,""6"":86,""7"":84,""8"":68,""9"":94,""10"":86}","{""1"":78,""2"":91,""3"":72,""4"":82,""5"":83,""6"":94,""7"":92,""8"":74,""9"":103,""10"":94}",0,"{""1"":40,""2"":40,""3"":70,""4"":90,""5"":100}",303009,30,[36],5,"[103009110,103009210,103009310]",司职中锋，具备较好的背打能力和内线脚步，有投射技术。是一个技术丰富的空间型内线。,,86,,0,,,0
103010,徐杰,103010,0,179,67,0,1,[1],2,3,"{""1"":80,""2"":65,""3"":80,""4"":93,""5"":75,""6"":71,""7"":60,""8"":63,""9"":78,""10"":83}","{""1"":88,""2"":71,""3"":88,""4"":102,""5"":82,""6"":78,""7"":66,""8"":69,""9"":85,""10"":91}",0,"{""1"":100,""2"":80,""3"":50,""4"":40,""5"":40}",303010,30,[40],5,"[103010110,103010210,103010310]",司职控球后卫，非常有灵性，拼抢积极，三分球比较精准，拥有一手抛投技术，心态比较稳定，在场上敢打敢拼。,,82,,0,,,0
103011,祝铭震,103011,0,196,105,0,2,[3],7,3,"{""1"":81,""2"":68,""3"":62,""4"":84,""5"":70,""6"":70,""7"":66,""8"":79,""9"":90,""10"":83}","{""1"":89,""2"":74,""3"":68,""4"":92,""5"":77,""6"":77,""7"":72,""8"":86,""9"":99,""10"":91}",0,"{""1"":60,""2"":70,""3"":100,""4"":80,""5"":70}",303011,30,[21],5,"[103011110,103011210,103011310]",司职小前锋，身材比较强壮，对抗能力出色，防守能力非常强，具备较强的三分能力。,,83,,0,,,0
103012,李慕豪,103012,0,220,122,0,3,[5],2,3,"{""1"":77,""2"":80,""3"":61,""4"":75,""5"":67,""6"":76,""7"":79,""8"":90,""9"":86,""10"":91}","{""1"":84,""2"":88,""3"":67,""4"":82,""5"":73,""6"":83,""7"":86,""8"":99,""9"":94,""10"":100}",0,"{""1"":40,""2"":40,""3"":70,""4"":80,""5"":100}",303012,30,[37],5,"[103012110,103012210,103012310]",司职中锋/大前锋，身体素质劲爆，运动能力非常强，无论静态天赋还是动态天赋都非常出色，在篮下具备较强的吃饼能力。,,86,,0,,,0
103013,任骏飞,103013,0,203,96,0,2,[4],20,3,"{""1"":80,""2"":80,""3"":75,""4"":78,""5"":72,""6"":78,""7"":78,""8"":70,""9"":82,""10"":87}","{""1"":88,""2"":88,""3"":82,""4"":85,""5"":79,""6"":85,""7"":85,""8"":77,""9"":90,""10"":95}",0,"{""1"":40,""2"":40,""3"":80,""4"":100,""5"":80}",303013,30,[21],5,"[103013110,103013210,103013310]",司职前锋，具备较强的策应能力，阅读比赛的能力非常强，进攻端能内能外，防守端非常强硬。,,85,,0,,,0
103014,孟子凯,103014,0,206,93,0,2,"[4,3]",1,3,"{""1"":80,""2"":79,""3"":64,""4"":78,""5"":69,""6"":81,""7"":84,""8"":79,""9"":80,""10"":84}","{""1"":88,""2"":86,""3"":70,""4"":85,""5"":75,""6"":89,""7"":92,""8"":86,""9"":88,""10"":92}",0,"{""1"":40,""2"":40,""3"":90,""4"":100,""5"":80}",303014,30,[43],5,"[103014110,103014210,103014310]",司职前锋，球风干练、身材轻盈，尤其是作为一名4号位球员，却拥有一手精准的外线三分。,,85,,0,,,0
103015,朱旭航,103015,0,201,95,0,2,"[4,5]",21,3,"{""1"":83,""2"":77,""3"":64,""4"":78,""5"":80,""6"":81,""7"":72,""8"":82,""9"":83,""10"":82}","{""1"":91,""2"":84,""3"":70,""4"":85,""5"":88,""6"":89,""7"":79,""8"":90,""9"":91,""10"":90}",0,"{""1"":40,""2"":40,""3"":80,""4"":100,""5"":90}",303015,30,[16],5,"[103015110,103015210,103015310]",司职大前锋，进攻主要三分为主，还有内线造杀伤，防守积极，够强硬，肯干脏活累活。,,86,,0,,,0
103016,廖三宁,103016,0,189,82,0,1,"[1,2]",2,3,"{""1"":80,""2"":72,""3"":80,""4"":90,""5"":78,""6"":80,""7"":74,""8"":76,""9"":82,""10"":83}","{""1"":88,""2"":79,""3"":88,""4"":99,""5"":85,""6"":88,""7"":81,""8"":83,""9"":90,""10"":91}",0,"{""1"":100,""2"":90,""3"":50,""4"":40,""5"":40}",303016,30,[39],5,"[103016110,103016210,103016310]",司职后卫，在比赛中的攻守转换极其老道，有开阔的视野和精准的传球能力，转换时机、传球把握，以及突然间的加速，这让对手极其头痛。,,87,,0,,,0
103017,李炎哲,103017,0,211,135,0,3,[5],13,3,"{""1"":71,""2"":80,""3"":60,""4"":75,""5"":66,""6"":82,""7"":86,""8"":78,""9"":95,""10"":91}","{""1"":78,""2"":88,""3"":66,""4"":82,""5"":72,""6"":90,""7"":94,""8"":85,""9"":104,""10"":100}",0,"{""1"":40,""2"":40,""3"":70,""4"":80,""5"":100}",303017,30,[16],5,"[103017110,103017210,103017310]",司职中锋，防守端，毕竟身高和体型摆在那边，想在他的手中轻易得分并不容易。,,86,,0,,,0
103018,李安,103018,0,209,118,0,3,[5],4,3,"{""1"":76,""2"":79,""3"":61,""4"":75,""5"":74,""6"":81,""7"":79,""8"":82,""9"":89,""10"":87}","{""1"":83,""2"":86,""3"":67,""4"":82,""5"":81,""6"":89,""7"":86,""8"":90,""9"":97,""10"":95}",0,"{""1"":40,""2"":40,""3"":70,""4"":80,""5"":100}",303018,30,[8],5,"[103018110,103018210,103018310]",司职中锋，中距离投篮很准，三分线内20厘米全是他的射程。,,86,,0,,,0
103019,张帆,103019,0,195,87,0,1,"[2,1]",6,3,"{""1"":88,""2"":66,""3"":75,""4"":85,""5"":71,""6"":68,""7"":60,""8"":69,""9"":81,""10"":83}","{""1"":96,""2"":72,""3"":82,""4"":93,""5"":78,""6"":74,""7"":66,""8"":75,""9"":89,""10"":91}",0,"{""1"":90,""2"":100,""3"":50,""4"":40,""5"":40}",303019,30,[39],5,"[103019110,103019210,103019310]",司职后卫，防守积极，篮下封盖意识强，前后场篮板球拼抢积极，中距离跳投有较高的命中率，善于与同伴配合，寻找机会。,,82,,0,,,0
103020,邢志强,103020,0,205,109,0,2,[4],12,3,"{""1"":79,""2"":78,""3"":61,""4"":80,""5"":72,""6"":77,""7"":76,""8"":76,""9"":87,""10"":81}","{""1"":86,""2"":85,""3"":67,""4"":88,""5"":79,""6"":84,""7"":83,""8"":83,""9"":95,""10"":89}",0,"{""1"":40,""2"":40,""3"":80,""4"":100,""5"":80}",303020,30,[24],5,"[103020110,103020210,103020310]",司职大前锋，具投射能力和机动性的锋线球员。,,84,,0,,,0
103021,韩硕,103021,0,197,91,0,1,"[1,2]",33,3,"{""1"":80,""2"":72,""3"":81,""4"":90,""5"":78,""6"":74,""7"":60,""8"":63,""9"":83,""10"":82}","{""1"":88,""2"":79,""3"":89,""4"":99,""5"":85,""6"":81,""7"":66,""8"":69,""9"":91,""10"":90}",0,"{""1"":100,""2"":90,""3"":50,""4"":40,""5"":40}",303021,30,[20],5,"[103021110,103021210,103021310]",司职后卫，年少成名，以出色的身体条件和技术，曾被认为是最有潜力的控球后卫之一，,,84,,0,,,0
103022,鲁吐布拉,103022,0,207,109,0,2,"[4,5]",14,3,"{""1"":69,""2"":80,""3"":62,""4"":78,""5"":70,""6"":82,""7"":84,""8"":90,""9"":86,""10"":86}","{""1"":75,""2"":88,""3"":68,""4"":85,""5"":77,""6"":90,""7"":92,""8"":99,""9"":94,""10"":94}",0,"{""1"":40,""2"":40,""3"":80,""4"":100,""5"":90}",303022,30,[16],5,"[103022110,103022210,103022310]",司职大前锋和中锋，很典型的内线球员的特点，有足够的内线高度、能在篮下卡位并且获得出手的机会,,86,,0,,,0
103023,张兆旭,103023,0,220,125,0,3,[5],33,3,"{""1"":66,""2"":82,""3"":60,""4"":75,""5"":70,""6"":82,""7"":84,""8"":87,""9"":87,""10"":87}","{""1"":72,""2"":90,""3"":66,""4"":82,""5"":77,""6"":90,""7"":92,""8"":95,""9"":95,""10"":95}",0,"{""1"":40,""2"":40,""3"":70,""4"":80,""5"":100}",303023,30,[37],5,"[103023110,103023210,103023310]",司职中锋，成名已久的老将，篮板球和盖帽能力比较突出。,,85,,0,,,0
103024,崔晓龙,103024,0,194,85,0,1,"[1,2]",0,3,"{""1"":72,""2"":67,""3"":72,""4"":88,""5"":92,""6"":89,""7"":68,""8"":64,""9"":81,""10"":78}","{""1"":79,""2"":73,""3"":79,""4"":96,""5"":101,""6"":97,""7"":74,""8"":70,""9"":89,""10"":85}",0,"{""1"":100,""2"":90,""3"":50,""4"":40,""5"":40}",303024,30,[31],5,"[103024110,103024210,103024310]",司职后卫，优于进攻的球员，拦截防守、篮板、盖帽、相同位置的高水平，突破冲击篮网的比较多，组织比较稳定。,,84,,0,,,0
103025,翟晓川,103025,0,205,111,0,2,[3],20,3,"{""1"":78,""2"":82,""3"":71,""4"":81,""5"":71,""6"":74,""7"":72,""8"":76,""9"":88,""10"":83}","{""1"":85,""2"":90,""3"":78,""4"":89,""5"":78,""6"":81,""7"":79,""8"":83,""9"":96,""10"":91}",0,"{""1"":60,""2"":70,""3"":100,""4"":80,""5"":70}",303025,30,[11],5,"[103025110,103025210,103025310]",司职小前锋，防守端非常强硬，尤其擅长拼抢前场篮板，具备较强的无球打法，尤其擅长空切篮下得分，经验非常丰富。,,85,,0,,,0
103026,王子瑞,103026,0,188,80,0,1,"[1,2]",1,3,"{""1"":83,""2"":67,""3"":83,""4"":89,""5"":72,""6"":68,""7"":60,""8"":64,""9"":81,""10"":81}","{""1"":91,""2"":73,""3"":91,""4"":97,""5"":79,""6"":74,""7"":66,""8"":70,""9"":89,""10"":89}",0,"{""1"":100,""2"":90,""3"":50,""4"":40,""5"":40}",303026,30,[20],5,"[103026110,103026210,103026310]",司职后卫，基本功非常扎实，具备较为出色的投射能力和不错的大局观，同时防守积极性也比较强。,,82,,0,,,0
103027,赵率舟,103027,0,197,97,0,2,[3],37,3,"{""1"":81,""2"":70,""3"":62,""4"":84,""5"":81,""6"":79,""7"":64,""8"":69,""9"":85,""10"":82}","{""1"":89,""2"":77,""3"":68,""4"":92,""5"":89,""6"":86,""7"":70,""8"":75,""9"":93,""10"":90}",0,"{""1"":60,""2"":70,""3"":100,""4"":80,""5"":70}",303027,30,[30],5,"[103027110,103027210,103027310]",司职小前锋，进攻效率很高，在锋线位置上提供比较强硬的防守和篮板保护,,83,,0,,,0
103028,方硕,103028,0,189,88,0,1,"[1,2]",8,3,"{""1"":74,""2"":68,""3"":83,""4"":91,""5"":76,""6"":73,""7"":60,""8"":67,""9"":85,""10"":79}","{""1"":81,""2"":74,""3"":91,""4"":100,""5"":83,""6"":80,""7"":66,""8"":73,""9"":93,""10"":86}",0,"{""1"":100,""2"":90,""3"":50,""4"":40,""5"":40}",303028,30,[12],5,"[103028110,103028210,103028310]",司职控球后卫，球商非常高的人，能充分利用自己的身体，突破和投篮都不错。,,83,,0,,,0
103029,赵柏清,103029,0,203,108,0,2,"[4,5]",11,3,"{""1"":81,""2"":77,""3"":61,""4"":78,""5"":66,""6"":70,""7"":71,""8"":80,""9"":88,""10"":87}","{""1"":89,""2"":84,""3"":67,""4"":85,""5"":72,""6"":77,""7"":78,""8"":88,""9"":96,""10"":95}",0,"{""1"":40,""2"":40,""3"":80,""4"":100,""5"":90}",303029,30,[16],5,"[103029110,103029210,103029310]",司职大前锋，进攻技术是十分均衡而全面的，他身体强壮在内线不惧对抗,,83,,0,,,0
103030,刘铮,103030,0,191,82,0,1,"[2,3]",5,3,"{""1"":78,""2"":71,""3"":73,""4"":86,""5"":88,""6"":85,""7"":70,""8"":60,""9"":81,""10"":84}","{""1"":85,""2"":78,""3"":80,""4"":94,""5"":96,""6"":93,""7"":77,""8"":66,""9"":89,""10"":92}",0,"{""1"":80,""2"":100,""3"":90,""4"":40,""5"":40}",303030,30,[14],5,"[103030110,103030210,103030310]",司职前锋，他技术全面，基本功扎实，具有出色的进攻能力和无球跑动能力。,,85,,0,,,0
103031,齐麟,103031,0,199,91,0,2,[3],11,3,"{""1"":83,""2"":67,""3"":68,""4"":81,""5"":68,""6"":72,""7"":72,""8"":84,""9"":82,""10"":82}","{""1"":91,""2"":73,""3"":74,""4"":89,""5"":74,""6"":79,""7"":79,""8"":92,""9"":90,""10"":90}",0,"{""1"":60,""2"":70,""3"":100,""4"":80,""5"":70}",303031,30,[11],5,"[103031110,103031210,103031310]",司职小前锋，他的弹跳和爆发力在年轻人中都属于顶尖的行列，他进攻手段十分丰富，运球突破、三分线外的投篮。,,83,,0,,,0
103032,景菡一,103032,0,194,96,0,1,"[2,3]",1,3,"{""1"":80,""2"":72,""3"":72,""4"":86,""5"":76,""6"":76,""7"":69,""8"":66,""9"":86,""10"":83}","{""1"":88,""2"":79,""3"":79,""4"":94,""5"":83,""6"":83,""7"":75,""8"":72,""9"":94,""10"":91}",0,"{""1"":80,""2"":100,""3"":90,""4"":40,""5"":40}",303032,30,[32],5,"[103032110,103032210,103032310]",司职前锋，身体强壮技术不错，得分手段也非常丰富。,,84,,0,,,0
103033,王少杰,103033,0,208,102,0,2,"[4,5]",14,3,"{""1"":72,""2"":81,""3"":63,""4"":78,""5"":70,""6"":78,""7"":79,""8"":79,""9"":83,""10"":85}","{""1"":79,""2"":89,""3"":69,""4"":85,""5"":77,""6"":85,""7"":86,""8"":86,""9"":91,""10"":93}",0,"{""1"":40,""2"":40,""3"":80,""4"":100,""5"":90}",303033,30,[37],5,"[103033110,103033210,103033310]",司职大前锋，运动天赋出众，主打内线可灵活度非常高，控球感觉比一般内线都要好。,,84,,0,,,0
103034,李晓旭,103034,0,207,105,0,2,"[4,5]",22,3,"{""1"":67,""2"":82,""3"":65,""4"":81,""5"":83,""6"":81,""7"":69,""8"":83,""9"":84,""10"":85}","{""1"":73,""2"":90,""3"":71,""4"":89,""5"":91,""6"":89,""7"":75,""8"":91,""9"":92,""10"":93}",0,"{""1"":40,""2"":40,""3"":80,""4"":100,""5"":90}",303034,30,[16],5,"[103034110,103034210,103034310]",司职中锋/大前锋，技术特点很鲜明，篮板和防守是他的长项!,,85,,0,,,0
103035,焦海龙,103035,0,206,103,0,2,[4],16,3,"{""1"":68,""2"":77,""3"":63,""4"":81,""5"":71,""6"":79,""7"":80,""8"":81,""9"":84,""10"":80}","{""1"":74,""2"":84,""3"":69,""4"":89,""5"":78,""6"":86,""7"":88,""8"":89,""9"":92,""10"":88}",0,"{""1"":40,""2"":40,""3"":80,""4"":100,""5"":80}",303035,30,[8],5,"[103035110,103035210,103035310]",司职中锋，技术非常全面，具有很好的策应能力，曾被队友称为“进攻万花筒”,,84,,0,,,0
103036,俞长栋,103036,0,206,110,0,2,"[4,5]",7,3,"{""1"":76,""2"":84,""3"":66,""4"":78,""5"":67,""6"":69,""7"":69,""8"":74,""9"":87,""10"":85}","{""1"":83,""2"":92,""3"":72,""4"":85,""5"":73,""6"":75,""7"":75,""8"":81,""9"":95,""10"":93}",0,"{""1"":40,""2"":40,""3"":80,""4"":100,""5"":90}",303036,30,[16],5,"[103036110,103036210,103036310]",司职大前锋，技术非常全面，无论篮下还是三分线外都能给对手打击。,,82,,0,,,0
103037,朱俊龙,103037,0,201,94,0,2,[3],10,3,"{""1"":76,""2"":75,""3"":62,""4"":84,""5"":72,""6"":78,""7"":78,""8"":80,""9"":82,""10"":86}","{""1"":83,""2"":82,""3"":68,""4"":92,""5"":79,""6"":85,""7"":85,""8"":88,""9"":90,""10"":94}",0,"{""1"":60,""2"":70,""3"":100,""4"":80,""5"":70}",303037,30,[22],5,"[103037110,103037210,103037310]",司职小前锋，防守端非常拼命，在场上不遗余力，横移速度比较快，具备较强的三分能力，还能够策应队友。,,85,,0,,,0
103038,李江淮,103038,0,190,82,0,1,"[2,1]",5,3,"{""1"":75,""2"":69,""3"":78,""4"":86,""5"":77,""6"":77,""7"":70,""8"":65,""9"":81,""10"":82}","{""1"":82,""2"":75,""3"":85,""4"":94,""5"":84,""6"":84,""7"":77,""8"":71,""9"":89,""10"":90}",0,"{""1"":90,""2"":100,""3"":50,""4"":40,""5"":40}",303038,30,[39],5,"[103038110,103038210,103038310]",司职后卫，不错的三分射手，大部分时候能保持一个优秀的命中率。,,83,,0,,,0
103039,任骏威,103039,0,200,96,0,2,"[4,3]",24,3,"{""1"":79,""2"":76,""3"":66,""4"":78,""5"":71,""6"":73,""7"":71,""8"":70,""9"":84,""10"":85}","{""1"":86,""2"":83,""3"":72,""4"":85,""5"":78,""6"":80,""7"":78,""8"":77,""9"":92,""10"":93}",0,"{""1"":40,""2"":40,""3"":90,""4"":100,""5"":80}",303039,30,[41],5,"[103039110,103039210,103039310]",司职前锋，进攻端能内能外，三分线外把握性十足，还能够低位背打，防守端拼抢积极，具备一定策应能力。,,82,,0,,,0
103040,崔晋铭,103040,0,195,91,0,1,"[1,2]",5,3,"{""1"":82,""2"":68,""3"":73,""4"":93,""5"":74,""6"":71,""7"":60,""8"":66,""9"":83,""10"":85}","{""1"":90,""2"":74,""3"":80,""4"":102,""5"":81,""6"":78,""7"":66,""8"":72,""9"":91,""10"":93}",0,"{""1"":100,""2"":90,""3"":50,""4"":40,""5"":40}",303040,30,[12],5,"[103040110,103040210,103040310]",司职得分后卫，定点投射、无球跑位能力较强，有一定的关键球能力。,,83,,0,,,0
103041,王岚嵚,103041,0,185,80,0,1,[1],8,3,"{""1"":80,""2"":72,""3"":80,""4"":90,""5"":78,""6"":80,""7"":74,""8"":76,""9"":82,""10"":83}","{""1"":79,""2"":73,""3"":79,""4"":96,""5"":101,""6"":97,""7"":74,""8"":70,""9"":89,""10"":85}",0,"{""1"":100,""2"":80,""3"":50,""4"":40,""5"":40}",303041,30,[41],5,"[103041110,103041210,103041310]",司职后卫，场上头脑很清晰，具备成为一名球队大脑的潜质。,,82,,0,,,0
103042,陆文博,103042,0,192,93,0,1,[2],8,3,"{""1"":78,""2"":71,""3"":73,""4"":86,""5"":88,""6"":85,""7"":70,""8"":60,""9"":81,""10"":84}","{""1"":96,""2"":72,""3"":82,""4"":93,""5"":78,""6"":74,""7"":66,""8"":75,""9"":89,""10"":91}",0,"{""1"":90,""2"":100,""3"":50,""4"":40,""5"":40}",303042,30,[12],5,"[103042110,103042210,103042310]",司职前锋，进攻不俗，是因为陆文博有精准的三分能力。,,83,,0,,,0
102001,张彪,102001,0,201,101,0,2,"[4,3]",14,2,"{""1"":85,""2"":66,""3"":68,""4"":78,""5"":71,""6"":70,""7"":64,""8"":78,""9"":85,""10"":87}","{""1"":80,""2"":62,""3"":64,""4"":74,""5"":67,""6"":66,""7"":60,""8"":74,""9"":80,""10"":82}",0,"{""1"":40,""2"":40,""3"":90,""4"":100,""5"":80}",302001,10,[0],5,"[102001110,102001210]",这个球员非常屌71,,71,,0,,,0
102002,史鸿飞,102002,0,178,73,0,1,"[1,2]",4,2,"{""1"":78,""2"":64,""3"":85,""4"":89,""5"":65,""6"":61,""7"":60,""8"":60,""9"":82,""10"":79}","{""1"":74,""2"":60,""3"":80,""4"":84,""5"":61,""6"":57,""7"":57,""8"":57,""9"":77,""10"":75}",0,"{""1"":100,""2"":90,""3"":50,""4"":40,""5"":40}",302002,10,[0],5,"[102002110,102002210]",这个球员非常屌72,,68,,0,,,0
102003,时德帅,102003,0,205,100,0,2,"[4,5]",23,2,"{""1"":75,""2"":77,""3"":61,""4"":78,""5"":80,""6"":77,""7"":61,""8"":76,""9"":83,""10"":82}","{""1"":71,""2"":73,""3"":57,""4"":74,""5"":76,""6"":73,""7"":57,""8"":72,""9"":78,""10"":77}",0,"{""1"":40,""2"":40,""3"":80,""4"":100,""5"":90}",302003,10,[0],5,"[102003110,102003210]",这个球员非常屌73,,71,,0,,,0
102004,张宁,102004,0,191,97,0,2,"[3,1]",8,3,"{""1"":81,""2"":68,""3"":62,""4"":84,""5"":70,""6"":70,""7"":66,""8"":79,""9"":90,""10"":83}","{""1"":89,""2"":77,""3"":68,""4"":92,""5"":89,""6"":86,""7"":70,""8"":75,""9"":93,""10"":90}",0,"{""1"":90,""2"":70,""3"":100,""4"":80,""5"":70}",302004,30,[11],5,"[102004110,102004210,102004310]",司职小前锋，身体对抗出色，有不错的持球进攻能力，是一名大心脏的关键先生。,,70,,0,,,0
102005,原帅,102005,0,194,90,0,1,[2],7,3,"{""1"":80,""2"":72,""3"":72,""4"":86,""5"":76,""6"":76,""7"":69,""8"":66,""9"":86,""10"":83}","{""1"":96,""2"":72,""3"":82,""4"":93,""5"":78,""6"":74,""7"":66,""8"":75,""9"":89,""10"":91}",0,"{""1"":80,""2"":100,""3"":50,""4"":40,""5"":40}",302005,30,[32],5,"[102005110,102005210,102005310]",司职后卫，定点投手，擅长无球跑动，大部分时候都是接球就投，具备较强的调整能力。,,67,,0,,,0
102006,陈培东,102006,0,189,89,0,1,[2],44,2,"{""1"":77,""2"":63,""3"":75,""4"":86,""5"":78,""6"":73,""7"":60,""8"":65,""9"":85,""10"":82}","{""1"":73,""2"":59,""3"":71,""4"":81,""5"":74,""6"":69,""7"":57,""8"":61,""9"":80,""10"":77}",0,"{""1"":80,""2"":100,""3"":50,""4"":40,""5"":40}",302006,10,[0],5,"[102006110,102006210]",这个球员非常屌76,,70,,0,,,0
102007,金鑫,102007,0,196,104,0,2,"[4,3]",10,2,"{""1"":76,""2"":77,""3"":61,""4"":79,""5"":72,""6"":70,""7"":63,""8"":81,""9"":89,""10"":82}","{""1"":72,""2"":73,""3"":57,""4"":75,""5"":68,""6"":66,""7"":59,""8"":76,""9"":84,""10"":77}",0,"{""1"":40,""2"":40,""3"":90,""4"":100,""5"":80}",302007,10,[0],5,"[102007110,102007210]",这个球员非常屌77,,71,,0,,,0
102008,黄毅超,102008,0,195,94,0,1,"[2,3]",14,2,"{""1"":80,""2"":74,""3"":61,""4"":86,""5"":76,""6"":73,""7"":60,""8"":71,""9"":85,""10"":83}","{""1"":76,""2"":70,""3"":57,""4"":81,""5"":72,""6"":69,""7"":57,""8"":67,""9"":80,""10"":78}",0,"{""1"":80,""2"":100,""3"":90,""4"":40,""5"":40}",302008,10,[0],5,"[102008110,102008210]",这个球员非常屌78,,71,,0,,,0
102009,刘泽一,102009,0,201,103,0,2,"[4,5]",10,2,"{""1"":70,""2"":79,""3"":60,""4"":78,""5"":67,""6"":72,""7"":73,""8"":85,""9"":86,""10"":89}","{""1"":66,""2"":75,""3"":57,""4"":74,""5"":63,""6"":68,""7"":69,""8"":80,""9"":81,""10"":84}",0,"{""1"":40,""2"":40,""3"":80,""4"":100,""5"":90}",302009,10,[0],5,"[102009110,102009210]",这个球员非常屌79,,72,,0,,,0
102010,李柏润,102010,0,186,90,0,1,"[1,2]",8,2,"{""1"":78,""2"":65,""3"":80,""4"":88,""5"":71,""6"":69,""7"":60,""8"":60,""9"":87,""10"":81}","{""1"":74,""2"":61,""3"":76,""4"":83,""5"":67,""6"":65,""7"":57,""8"":57,""9"":82,""10"":76}",0,"{""1"":100,""2"":90,""3"":50,""4"":40,""5"":40}",302010,10,[0],5,"[102010110,102010210]",这个球员非常屌80,,70,,0,,,0
