Id,Name,Hero,Star,Prev,Des,Number,Star1,Reward1,Star2,Reward2,Star3,Reward3,Showrewards
1041010,篮球世家,101001,0,0,拥有[张祖铭]开启,5,5,2:301001:10,10,2:301001:10|2:400201:1,15,2:301001:10|2:400201:1,2:301001:1
1040245,广州龙狮,104024,5,1040243,拥有5星[西热力江]开启,10,10,2:304024:5,20,2:304024:10|2:400201:1,30,2:304024:10|2:400201:1,2:304024:1
1040255,巴黎奥运会,104025,5,1040253,拥有5星[高诗岩]开启,10,10,2:304025:5,20,2:304025:10|2:400201:1,30,2:304025:10|2:400201:1,2:304025:1
1040265,里约奥运会,104026,5,1040263,拥有5星[邹雨宸]开启,10,10,2:304026:5,20,2:304026:10|2:400201:1,30,2:304026:10|2:400201:1,2:304026:1
1040275,巴黎奥运会,104027,5,1040273,拥有5星[贺希宁]开启,10,10,2:304027:5,20,2:304027:10|2:400201:1,30,2:304027:10|2:400201:1,2:304027:1
1040285,巴黎奥运会,104028,5,1040283,拥有5星[顾全]开启,10,10,2:304028:5,20,2:304028:10|2:400201:1,30,2:304028:10|2:400201:1,2:304028:1
1040295,巴黎奥运会,104029,5,1040293,拥有5星[陈林坚]开启,10,10,2:304029:5,20,2:304029:10|2:400201:1,30,2:304029:10|2:400201:1,2:304029:1
1040305,巴黎奥运会,104030,5,1040303,拥有5星[姜宇星]开启,10,10,2:304030:5,20,2:304030:10|2:400201:1,30,2:304030:10|2:400201:1,2:304030:1
1040315,全运会,104031,5,1040313,拥有5星[崔永熙]开启,10,10,2:304031:5,20,2:304031:10|2:400201:1,30,2:304031:10|2:400201:1,2:304031:1
1040325,发展联盟点燃队,104032,5,1040323,拥有5星[曾凡博]开启,10,10,2:304032:5,20,2:304032:10|2:400201:1,30,2:304032:10|2:400201:1,2:304032:1
1040335,全运会3,104033,5,1040333,拥有5星[林葳]开启,10,10,2:304033:5,20,2:304033:10|2:400201:1,30,2:304033:10|2:400201:1,2:304033:1
1040345,世界杯亚洲区2,104034,5,1040343,拥有5星[程帅澎]开启,10,10,2:304034:5,20,2:304034:10|2:400201:1,30,2:304034:10|2:400201:1,2:304034:1
1040355,雅加达奥运会,104035,5,1040353,拥有5星[周琦]开启,10,10,2:304035:5,20,2:304035:10|2:400201:1,30,2:304035:10|2:400201:1,2:304035:1
1040365,征战CBA,104036,5,1040363,拥有5星[陈国豪]开启,10,10,2:304036:5,20,2:304036:10|2:400201:1,30,2:304036:10|2:400201:1,2:304036:1
1040375,征战CBA,104037,5,1040373,拥有5星[邹阳]开启,10,10,2:304037:5,20,2:304037:10|2:400201:1,30,2:304037:10|2:400201:1,2:304037:1
1040385,征战CBA,104038,5,1040383,拥有5星[杨瀚森]开启,10,10,2:304038:5,20,2:304038:10|2:400201:1,30,2:304038:10|2:400201:1,2:304038:1
1040395,亚青赛,104039,5,1040393,拥有5星[巅峰·李晓旭]开启,10,10,2:304039:5,20,2:304039:10|2:400201:1,30,2:304039:10|2:400201:1,2:304039:1
1040405,大庆训练营,104040,5,1040403,拥有5星[全明星·赵睿]开启,10,10,2:304040:5,20,2:304040:10|2:400201:1,30,2:304040:10|2:400201:1,2:304040:1
1040415,小飞虎训练营,104041,5,1040413,拥有5星[全明星·胡明轩]开启,10,10,2:304041:5,20,2:304041:10|2:400201:1,30,2:304041:10|2:400201:1,2:304041:1
1040425,辽宁队,104042,5,1040423,拥有5星[全明星·张镇麟]开启,10,10,2:304042:5,20,2:304042:10|2:400201:1,30,2:304042:10|2:400201:1,2:304042:1
1040435,香港金通杯,104043,5,1040433,拥有5星[全明星·崔永熙]开启,10,10,2:304043:5,20,2:304043:10|2:400201:1,30,2:304043:10|2:400201:1,2:304043:1
1040445,征战CBA,104044,5,1040443,拥有5星[全明星·阿不都沙拉木]开启,10,10,2:304044:5,20,2:304044:10|2:400201:1,30,2:304044:10|2:400201:1,2:304044:1
1040455,FIBA篇,104045,5,1040453,拥有5星[全明星·胡金秋]开启,10,10,2:304045:5,20,2:304045:10|2:400201:1,30,2:304045:10|2:400201:1,2:304045:1
1040465,FIBA篇,104046,5,1040463,拥有5星[全明星·赵继伟]开启,10,10,2:304046:5,20,2:304046:10|2:400201:1,30,2:304046:10|2:400201:1,2:304046:1
1040475,男篮亚洲杯,104047,5,1040473,拥有5星[全明星·孙铭徽]开启,10,10,2:304047:5,20,2:304047:10|2:400201:1,30,2:304047:10|2:400201:1,2:304047:1
