Id,Position,Level,Cost,Ability,Quality,Talent,CardNameSuffix,CardLevel
5017,5,17,1:2:100000,"{""1"":275,""2"":367,""3"":260,""4"":260,""5"":214,""6"":306,""7"":398,""8"":428,""9"":245,""10"":306}",4,4,+4,64
5018,5,18,1:2:110000,"{""1"":292,""2"":389,""3"":275,""4"":275,""5"":227,""6"":324,""7"":421,""8"":454,""9"":259,""10"":324}",4,4,+5,68
5019,5,19,1:2:120000|2:100108:10,"{""1"":308,""2"":410,""3"":291,""4"":291,""5"":239,""6"":342,""7"":445,""8"":479,""9"":274,""10"":342}",4,4,+6,72
5020,5,20,1:2:130000,"{""1"":324,""2"":432,""3"":306,""4"":306,""5"":252,""6"":360,""7"":468,""8"":504,""9"":288,""10"":360}",5,4,,76
5021,5,21,1:2:140000,"{""1"":340,""2"":454,""3"":321,""4"":321,""5"":265,""6"":378,""7"":491,""8"":529,""9"":302,""10"":378}",5,4,+1,80
5022,5,22,1:2:150000,"{""1"":356,""2"":475,""3"":337,""4"":337,""5"":277,""6"":396,""7"":515,""8"":554,""9"":317,""10"":396}",5,4,+2,84
5023,5,23,1:2:160000,"{""1"":373,""2"":497,""3"":352,""4"":352,""5"":290,""6"":414,""7"":538,""8"":580,""9"":331,""10"":414}",5,4,+3,88
5024,5,24,1:2:170000,"{""1"":389,""2"":518,""3"":367,""4"":367,""5"":302,""6"":432,""7"":562,""8"":605,""9"":346,""10"":432}",5,4,+4,92
5025,5,25,1:2:180000,"{""1"":405,""2"":540,""3"":383,""4"":383,""5"":315,""6"":450,""7"":585,""8"":630,""9"":360,""10"":450}",5,4,+5,96
5026,5,26,1:2:190000,"{""1"":421,""2"":562,""3"":398,""4"":398,""5"":328,""6"":468,""7"":608,""8"":655,""9"":374,""10"":468}",5,4,+6,100
5027,5,27,1:2:200000|2:100108:20,"{""1"":437,""2"":583,""3"":413,""4"":413,""5"":340,""6"":486,""7"":632,""8"":680,""9"":389,""10"":486}",5,4,+7,104
5028,5,28,1:2:210000,"{""1"":454,""2"":605,""3"":428,""4"":428,""5"":353,""6"":504,""7"":655,""8"":706,""9"":403,""10"":504}",6,4,,108
5029,5,29,1:2:220000,"{""1"":470,""2"":626,""3"":444,""4"":444,""5"":365,""6"":522,""7"":679,""8"":731,""9"":418,""10"":522}",6,4,+1,112
5030,5,30,1:2:230000,"{""1"":486,""2"":648,""3"":459,""4"":459,""5"":378,""6"":540,""7"":702,""8"":756,""9"":432,""10"":540}",6,4,+2,116
5031,5,31,1:2:240000,"{""1"":502,""2"":670,""3"":474,""4"":474,""5"":391,""6"":558,""7"":725,""8"":781,""9"":446,""10"":558}",6,4,+3,120
5032,5,32,1:2:250000,"{""1"":518,""2"":691,""3"":490,""4"":490,""5"":403,""6"":576,""7"":749,""8"":806,""9"":461,""10"":576}",6,4,+4,124
5033,5,33,1:2:260000,"{""1"":535,""2"":713,""3"":505,""4"":505,""5"":416,""6"":594,""7"":772,""8"":832,""9"":475,""10"":594}",6,4,+5,128
5034,5,34,1:2:270000,"{""1"":551,""2"":734,""3"":520,""4"":520,""5"":428,""6"":612,""7"":796,""8"":857,""9"":490,""10"":612}",6,4,+6,132
5035,5,35,1:2:280000,"{""1"":567,""2"":756,""3"":536,""4"":536,""5"":441,""6"":630,""7"":819,""8"":882,""9"":504,""10"":630}",6,4,+7,136
5036,5,36,1:2:290000|2:100108:30,"{""1"":583,""2"":778,""3"":551,""4"":551,""5"":454,""6"":648,""7"":842,""8"":907,""9"":518,""10"":648}",6,4,+8,140
