Id,CardId,Quality,Star,AbilityAdd,Sklv,AbilityRatio,Power
104016503,104016,5,3,"{""1"":1076,""2"":557,""3"":968,""4"":1003,""5"":957,""6"":704,""7"":499,""8"":384,""9"":1018,""10"":840}","{""1"":5,""2"":4,""3"":4,""4"":4}","{""1"":247,""2"":202,""3"":220,""4"":219,""5"":207,""6"":203,""7"":173,""8"":191,""9"":201,""10"":220}",801
104016504,104016,5,4,"{""1"":1211,""2"":626,""3"":1089,""4"":1128,""5"":1076,""6"":792,""7"":562,""8"":432,""9"":1145,""10"":945}","{""1"":5,""2"":5,""3"":4,""4"":4}","{""1"":247,""2"":202,""3"":240,""4"":239,""5"":207,""6"":203,""7"":193,""8"":211,""9"":221,""10"":220}",901
104016505,104016,5,5,"{""1"":1346,""2"":696,""3"":1210,""4"":1254,""5"":1196,""6"":880,""7"":624,""8"":480,""9"":1272,""10"":1050}","{""1"":5,""2"":5,""3"":5,""4"":4}","{""1"":247,""2"":202,""3"":240,""4"":259,""5"":227,""6"":223,""7"":193,""8"":231,""9"":241,""10"":220}",1001
104016506,104016,5,6,"{""1"":1480,""2"":766,""3"":1331,""4"":1379,""5"":1316,""6"":968,""7"":686,""8"":528,""9"":1399,""10"":1155}","{""1"":5,""2"":5,""3"":5,""4"":5}","{""1"":267,""2"":222,""3"":260,""4"":259,""5"":227,""6"":223,""7"":213,""8"":231,""9"":241,""10"":240}",1101
104016507,104016,5,7,"{""1"":1615,""2"":835,""3"":1452,""4"":1504,""5"":1435,""6"":1056,""7"":749,""8"":576,""9"":1526,""10"":1260}","{""1"":6,""2"":5,""3"":5,""4"":5}","{""1"":287,""2"":222,""3"":280,""4"":259,""5"":247,""6"":223,""7"":233,""8"":231,""9"":261,""10"":240}",1201
104016508,104016,5,8,"{""1"":1749,""2"":905,""3"":1573,""4"":1630,""5"":1555,""6"":1144,""7"":811,""8"":624,""9"":1654,""10"":1365}","{""1"":6,""2"":6,""3"":5,""4"":5}","{""1"":287,""2"":242,""3"":280,""4"":279,""5"":247,""6"":243,""7"":233,""8"":251,""9"":261,""10"":260}",1301
104016509,104016,5,9,"{""1"":1884,""2"":974,""3"":1694,""4"":1755,""5"":1674,""6"":1232,""7"":874,""8"":672,""9"":1781,""10"":1470}","{""1"":6,""2"":6,""3"":6,""4"":5}","{""1"":307,""2"":262,""3"":280,""4"":279,""5"":267,""6"":263,""7"":233,""8"":251,""9"":261,""10"":280}",1401
104016510,104016,5,10,"{""1"":2018,""2"":1044,""3"":1815,""4"":1880,""5"":1794,""6"":1320,""7"":936,""8"":720,""9"":1908,""10"":1575}","{""1"":6,""2"":6,""3"":6,""4"":6}","{""1"":307,""2"":262,""3"":300,""4"":299,""5"":267,""6"":263,""7"":253,""8"":271,""9"":281,""10"":280}",1501
104017401,104017,4,1,"{""1"":64,""2"":36,""3"":57,""4"":63,""5"":74,""6"":57,""7"":39,""8"":20,""9"":62,""10"":54}","{""1"":1,""2"":1,""3"":1,""4"":1}","{""1"":126,""2"":91,""3"":119,""4"":110,""5"":129,""6"":114,""7"":113,""8"":81,""9"":119,""10"":107}",53
104017402,104017,4,2,"{""1"":128,""2"":73,""3"":114,""4"":127,""5"":148,""6"":114,""7"":78,""8"":41,""9"":125,""10"":107}","{""1"":2,""2"":1,""3"":1,""4"":1}","{""1"":126,""2"":106,""3"":119,""4"":125,""5"":129,""6"":129,""7"":113,""8"":96,""9"":119,""10"":122}",106
104017403,104017,4,3,"{""1"":191,""2"":109,""3"":172,""4"":190,""5"":222,""6"":171,""7"":118,""8"":61,""9"":187,""10"":161}","{""1"":2,""2"":2,""3"":1,""4"":1}","{""1"":141,""2"":121,""3"":119,""4"":125,""5"":144,""6"":144,""7"":113,""8"":96,""9"":119,""10"":137}",158
104017404,104017,4,4,"{""1"":255,""2"":146,""3"":229,""4"":253,""5"":296,""6"":228,""7"":157,""8"":81,""9"":250,""10"":214}","{""1"":2,""2"":2,""3"":2,""4"":1}","{""1"":141,""2"":121,""3"":134,""4"":140,""5"":144,""6"":144,""7"":128,""8"":111,""9"":134,""10"":137}",211
104017405,104017,4,5,"{""1"":319,""2"":182,""3"":286,""4"":316,""5"":371,""6"":285,""7"":196,""8"":101,""9"":312,""10"":268}","{""1"":2,""2"":2,""3"":2,""4"":2}","{""1"":141,""2"":121,""3"":134,""4"":155,""5"":159,""6"":159,""7"":128,""8"":126,""9"":149,""10"":137}",264
104017406,104017,4,6,"{""1"":383,""2"":218,""3"":343,""4"":380,""5"":445,""6"":342,""7"":235,""8"":122,""9"":374,""10"":321}","{""1"":3,""2"":2,""3"":2,""4"":2}","{""1"":156,""2"":136,""3"":149,""4"":155,""5"":159,""6"":159,""7"":143,""8"":126,""9"":149,""10"":152}",316
104017407,104017,4,7,"{""1"":447,""2"":255,""3"":400,""4"":443,""5"":519,""6"":399,""7"":274,""8"":142,""9"":437,""10"":375}","{""1"":3,""2"":3,""3"":2,""4"":2}","{""1"":171,""2"":136,""3"":164,""4"":155,""5"":174,""6"":159,""7"":158,""8"":126,""9"":164,""10"":152}",369
104017408,104017,4,8,"{""1"":511,""2"":291,""3"":458,""4"":506,""5"":593,""6"":456,""7"":314,""8"":162,""9"":499,""10"":428}","{""1"":3,""2"":3,""3"":3,""4"":2}","{""1"":171,""2"":151,""3"":164,""4"":170,""5"":174,""6"":174,""7"":158,""8"":141,""9"":164,""10"":167}",422
104017409,104017,4,9,"{""1"":574,""2"":328,""3"":515,""4"":569,""5"":667,""6"":513,""7"":353,""8"":182,""9"":562,""10"":482}","{""1"":3,""2"":3,""3"":3,""4"":3}","{""1"":186,""2"":166,""3"":164,""4"":170,""5"":189,""6"":189,""7"":158,""8"":141,""9"":164,""10"":182}",475
104017410,104017,4,10,"{""1"":638,""2"":364,""3"":572,""4"":633,""5"":741,""6"":570,""7"":392,""8"":203,""9"":624,""10"":535}","{""1"":4,""2"":3,""3"":3,""4"":3}","{""1"":186,""2"":166,""3"":179,""4"":185,""5"":189,""6"":189,""7"":173,""8"":156,""9"":179,""10"":182}",527
104017500,104017,5,0,"{""1"":702,""2"":400,""3"":629,""4"":696,""5"":815,""6"":627,""7"":431,""8"":223,""9"":686,""10"":589}","{""1"":4,""2"":4,""3"":3,""4"":3}","{""1"":201,""2"":166,""3"":194,""4"":200,""5"":189,""6"":189,""7"":173,""8"":156,""9"":179,""10"":182}",580
104017501,104017,5,1,"{""1"":766,""2"":437,""3"":686,""4"":759,""5"":889,""6"":684,""7"":470,""8"":243,""9"":749,""10"":642}","{""1"":4,""2"":4,""3"":4,""4"":3}","{""1"":221,""2"":166,""3"":214,""4"":200,""5"":209,""6"":189,""7"":193,""8"":156,""9"":199,""10"":182}",633
104017502,104017,5,2,"{""1"":894,""2"":510,""3"":801,""4"":886,""5"":1037,""6"":798,""7"":549,""8"":284,""9"":874,""10"":749}","{""1"":4,""2"":4,""3"":4,""4"":4}","{""1"":221,""2"":186,""3"":214,""4"":220,""5"":209,""6"":209,""7"":193,""8"":176,""9"":199,""10"":202}",738
104017503,104017,5,3,"{""1"":1021,""2"":582,""3"":915,""4"":1012,""5"":1186,""6"":912,""7"":627,""8"":324,""9"":998,""10"":856}","{""1"":5,""2"":4,""3"":4,""4"":4}","{""1"":241,""2"":206,""3"":214,""4"":220,""5"":229,""6"":229,""7"":193,""8"":176,""9"":199,""10"":222}",843
104017504,104017,5,4,"{""1"":1149,""2"":655,""3"":1030,""4"":1139,""5"":1334,""6"":1026,""7"":706,""8"":365,""9"":1123,""10"":963}","{""1"":5,""2"":5,""3"":4,""4"":4}","{""1"":241,""2"":206,""3"":234,""4"":240,""5"":229,""6"":229,""7"":213,""8"":196,""9"":219,""10"":222}",949
104017505,104017,5,5,"{""1"":1277,""2"":728,""3"":1144,""4"":1265,""5"":1482,""6"":1140,""7"":784,""8"":405,""9"":1248,""10"":1070}","{""1"":5,""2"":5,""3"":5,""4"":4}","{""1"":241,""2"":206,""3"":234,""4"":260,""5"":249,""6"":249,""7"":213,""8"":216,""9"":239,""10"":222}",1054
104017506,104017,5,6,"{""1"":1404,""2"":801,""3"":1258,""4"":1392,""5"":1630,""6"":1254,""7"":862,""8"":446,""9"":1373,""10"":1177}","{""1"":5,""2"":5,""3"":5,""4"":5}","{""1"":261,""2"":226,""3"":254,""4"":260,""5"":249,""6"":249,""7"":233,""8"":216,""9"":239,""10"":242}",1160
104017507,104017,5,7,"{""1"":1532,""2"":874,""3"":1373,""4"":1518,""5"":1778,""6"":1368,""7"":941,""8"":486,""9"":1498,""10"":1284}","{""1"":6,""2"":5,""3"":5,""4"":5}","{""1"":281,""2"":226,""3"":274,""4"":260,""5"":269,""6"":249,""7"":253,""8"":216,""9"":259,""10"":242}",1265
104017508,104017,5,8,"{""1"":1659,""2"":946,""3"":1487,""4"":1645,""5"":1927,""6"":1482,""7"":1019,""8"":527,""9"":1622,""10"":1391}","{""1"":6,""2"":6,""3"":5,""4"":5}","{""1"":281,""2"":246,""3"":274,""4"":280,""5"":269,""6"":269,""7"":253,""8"":236,""9"":259,""10"":262}",1371
104017509,104017,5,9,"{""1"":1787,""2"":1019,""3"":1602,""4"":1771,""5"":2075,""6"":1596,""7"":1098,""8"":567,""9"":1747,""10"":1498}","{""1"":6,""2"":6,""3"":6,""4"":5}","{""1"":301,""2"":266,""3"":274,""4"":280,""5"":289,""6"":289,""7"":253,""8"":236,""9"":259,""10"":282}",1476
104017510,104017,5,10,"{""1"":1915,""2"":1092,""3"":1716,""4"":1898,""5"":2223,""6"":1710,""7"":1176,""8"":608,""9"":1872,""10"":1605}","{""1"":6,""2"":6,""3"":6,""4"":6}","{""1"":301,""2"":266,""3"":294,""4"":300,""5"":289,""6"":289,""7"":273,""8"":256,""9"":279,""10"":282}",1582
104018401,104018,4,1,"{""1"":61,""2"":36,""3"":67,""4"":68,""5"":63,""6"":45,""7"":23,""8"":28,""9"":68,""10"":55}","{""1"":1,""2"":1,""3"":1,""4"":1}","{""1"":132,""2"":91,""3"":132,""4"":118,""5"":109,""6"":89,""7"":93,""8"":79,""9"":128,""10"":110}",51
104018402,104018,4,2,"{""1"":123,""2"":73,""3"":135,""4"":136,""5"":127,""6"":89,""7"":47,""8"":55,""9"":136,""10"":110}","{""1"":2,""2"":1,""3"":1,""4"":1}","{""1"":132,""2"":106,""3"":132,""4"":133,""5"":109,""6"":104,""7"":93,""8"":94,""9"":128,""10"":125}",103
104018403,104018,4,3,"{""1"":184,""2"":109,""3"":202,""4"":204,""5"":190,""6"":134,""7"":70,""8"":83,""9"":203,""10"":165}","{""1"":2,""2"":2,""3"":1,""4"":1}","{""1"":147,""2"":121,""3"":132,""4"":133,""5"":124,""6"":119,""7"":93,""8"":94,""9"":128,""10"":140}",154
104018404,104018,4,4,"{""1"":246,""2"":146,""3"":269,""4"":271,""5"":254,""6"":178,""7"":94,""8"":111,""9"":271,""10"":220}","{""1"":2,""2"":2,""3"":2,""4"":1}","{""1"":147,""2"":121,""3"":147,""4"":148,""5"":124,""6"":119,""7"":108,""8"":109,""9"":143,""10"":140}",206
104018405,104018,4,5,"{""1"":307,""2"":182,""3"":336,""4"":339,""5"":317,""6"":223,""7"":117,""8"":138,""9"":339,""10"":275}","{""1"":2,""2"":2,""3"":2,""4"":2}","{""1"":147,""2"":121,""3"":147,""4"":163,""5"":139,""6"":134,""7"":108,""8"":124,""9"":158,""10"":140}",257
104018406,104018,4,6,"{""1"":369,""2"":218,""3"":404,""4"":407,""5"":381,""6"":267,""7"":140,""8"":166,""9"":407,""10"":330}","{""1"":3,""2"":2,""3"":2,""4"":2}","{""1"":162,""2"":136,""3"":162,""4"":163,""5"":139,""6"":134,""7"":123,""8"":124,""9"":158,""10"":155}",309
104018407,104018,4,7,"{""1"":430,""2"":255,""3"":471,""4"":475,""5"":444,""6"":312,""7"":164,""8"":194,""9"":475,""10"":385}","{""1"":3,""2"":3,""3"":2,""4"":2}","{""1"":177,""2"":136,""3"":177,""4"":163,""5"":154,""6"":134,""7"":138,""8"":124,""9"":173,""10"":155}",361
104018408,104018,4,8,"{""1"":491,""2"":291,""3"":538,""4"":543,""5"":508,""6"":356,""7"":187,""8"":221,""9"":542,""10"":440}","{""1"":3,""2"":3,""3"":3,""4"":2}","{""1"":177,""2"":151,""3"":177,""4"":178,""5"":154,""6"":149,""7"":138,""8"":139,""9"":173,""10"":170}",412
104018409,104018,4,9,"{""1"":553,""2"":328,""3"":605,""4"":611,""5"":571,""6"":401,""7"":211,""8"":249,""9"":610,""10"":495}","{""1"":3,""2"":3,""3"":3,""4"":3}","{""1"":192,""2"":166,""3"":177,""4"":178,""5"":169,""6"":164,""7"":138,""8"":139,""9"":173,""10"":185}",463
104018410,104018,4,10,"{""1"":614,""2"":364,""3"":673,""4"":679,""5"":635,""6"":445,""7"":234,""8"":277,""9"":678,""10"":550}","{""1"":4,""2"":3,""3"":3,""4"":3}","{""1"":192,""2"":166,""3"":192,""4"":193,""5"":169,""6"":164,""7"":153,""8"":154,""9"":188,""10"":185}",515
104018500,104018,5,0,"{""1"":676,""2"":400,""3"":740,""4"":746,""5"":698,""6"":490,""7"":257,""8"":304,""9"":746,""10"":605}","{""1"":4,""2"":4,""3"":3,""4"":3}","{""1"":192,""2"":166,""3"":207,""4"":208,""5"":184,""6"":164,""7"":153,""8"":154,""9"":188,""10"":185}",566
104018501,104018,5,1,"{""1"":737,""2"":437,""3"":807,""4"":814,""5"":761,""6"":534,""7"":281,""8"":332,""9"":814,""10"":660}","{""1"":4,""2"":4,""3"":4,""4"":3}","{""1"":212,""2"":166,""3"":227,""4"":208,""5"":204,""6"":164,""7"":173,""8"":154,""9"":208,""10"":185}",618
104018502,104018,5,2,"{""1"":860,""2"":510,""3"":942,""4"":950,""5"":888,""6"":623,""7"":328,""8"":387,""9"":949,""10"":770}","{""1"":4,""2"":4,""3"":4,""4"":4}","{""1"":212,""2"":186,""3"":227,""4"":228,""5"":204,""6"":184,""7"":173,""8"":174,""9"":208,""10"":205}",721
104018503,104018,5,3,"{""1"":983,""2"":582,""3"":1076,""4"":1086,""5"":1015,""6"":712,""7"":374,""8"":442,""9"":1085,""10"":880}","{""1"":5,""2"":4,""3"":4,""4"":4}","{""1"":232,""2"":206,""3"":227,""4"":228,""5"":224,""6"":204,""7"":173,""8"":174,""9"":208,""10"":225}",824
104018504,104018,5,4,"{""1"":1106,""2"":655,""3"":1211,""4"":1221,""5"":1142,""6"":801,""7"":421,""8"":498,""9"":1220,""10"":990}","{""1"":5,""2"":5,""3"":4,""4"":4}","{""1"":232,""2"":206,""3"":247,""4"":248,""5"":224,""6"":204,""7"":193,""8"":194,""9"":228,""10"":225}",927
104018505,104018,5,5,"{""1"":1229,""2"":728,""3"":1346,""4"":1357,""5"":1269,""6"":890,""7"":468,""8"":553,""9"":1356,""10"":1100}","{""1"":5,""2"":5,""3"":5,""4"":4}","{""1"":232,""2"":206,""3"":247,""4"":268,""5"":244,""6"":224,""7"":193,""8"":214,""9"":248,""10"":225}",1030
104018506,104018,5,6,"{""1"":1351,""2"":801,""3"":1480,""4"":1493,""5"":1396,""6"":979,""7"":515,""8"":608,""9"":1492,""10"":1210}","{""1"":5,""2"":5,""3"":5,""4"":5}","{""1"":252,""2"":226,""3"":267,""4"":268,""5"":244,""6"":224,""7"":213,""8"":214,""9"":248,""10"":245}",1133
104018507,104018,5,7,"{""1"":1474,""2"":874,""3"":1615,""4"":1628,""5"":1523,""6"":1068,""7"":562,""8"":664,""9"":1627,""10"":1320}","{""1"":6,""2"":5,""3"":5,""4"":5}","{""1"":272,""2"":226,""3"":287,""4"":268,""5"":264,""6"":224,""7"":233,""8"":214,""9"":268,""10"":245}",1236
104018508,104018,5,8,"{""1"":1597,""2"":946,""3"":1749,""4"":1764,""5"":1650,""6"":1157,""7"":608,""8"":719,""9"":1763,""10"":1430}","{""1"":6,""2"":6,""3"":5,""4"":5}","{""1"":272,""2"":246,""3"":287,""4"":288,""5"":264,""6"":244,""7"":233,""8"":234,""9"":268,""10"":265}",1338
104018509,104018,5,9,"{""1"":1720,""2"":1019,""3"":1884,""4"":1900,""5"":1777,""6"":1246,""7"":655,""8"":774,""9"":1898,""10"":1540}","{""1"":6,""2"":6,""3"":6,""4"":5}","{""1"":292,""2"":266,""3"":287,""4"":288,""5"":284,""6"":264,""7"":233,""8"":234,""9"":268,""10"":285}",1441
104018510,104018,5,10,"{""1"":1843,""2"":1092,""3"":2018,""4"":2036,""5"":1904,""6"":1335,""7"":702,""8"":830,""9"":2034,""10"":1650}","{""1"":6,""2"":6,""3"":6,""4"":6}","{""1"":292,""2"":266,""3"":307,""4"":308,""5"":284,""6"":264,""7"":253,""8"":254,""9"":288,""10"":285}",1544
104019401,104019,4,1,"{""1"":51,""2"":63,""3"":40,""4"":41,""5"":36,""6"":52,""7"":60,""8"":62,""9"":45,""10"":57}","{""1"":1,""2"":1,""3"":1,""4"":1}","{""1"":128,""2"":105,""3"":108,""4"":97,""5"":119,""6"":104,""7"":108,""8"":89,""9"":128,""10"":113}",51
104019402,104019,4,2,"{""1"":102,""2"":126,""3"":79,""4"":82,""5"":73,""6"":104,""7"":121,""8"":125,""9"":90,""10"":113}","{""1"":2,""2"":1,""3"":1,""4"":1}","{""1"":128,""2"":120,""3"":108,""4"":112,""5"":119,""6"":119,""7"":108,""8"":104,""9"":128,""10"":128}",102
104019403,104019,4,3,"{""1"":153,""2"":189,""3"":119,""4"":124,""5"":109,""6"":156,""7"":181,""8"":187,""9"":136,""10"":170}","{""1"":2,""2"":2,""3"":1,""4"":1}","{""1"":143,""2"":135,""3"":108,""4"":112,""5"":134,""6"":134,""7"":108,""8"":104,""9"":128,""10"":143}",152
104019404,104019,4,4,"{""1"":203,""2"":252,""3"":158,""4"":165,""5"":146,""6"":208,""7"":242,""8"":249,""9"":181,""10"":226}","{""1"":2,""2"":2,""3"":2,""4"":1}","{""1"":143,""2"":135,""3"":123,""4"":127,""5"":134,""6"":134,""7"":123,""8"":119,""9"":143,""10"":143}",203
104019405,104019,4,5,"{""1"":254,""2"":315,""3"":198,""4"":206,""5"":182,""6"":260,""7"":302,""8"":312,""9"":226,""10"":283}","{""1"":2,""2"":2,""3"":2,""4"":2}","{""1"":143,""2"":135,""3"":123,""4"":142,""5"":149,""6"":149,""7"":123,""8"":134,""9"":158,""10"":143}",254
104019406,104019,4,6,"{""1"":305,""2"":378,""3"":237,""4"":247,""5"":218,""6"":312,""7"":363,""8"":374,""9"":271,""10"":339}","{""1"":3,""2"":2,""3"":2,""4"":2}","{""1"":158,""2"":150,""3"":138,""4"":142,""5"":149,""6"":149,""7"":138,""8"":134,""9"":158,""10"":158}",304
104019407,104019,4,7,"{""1"":356,""2"":441,""3"":277,""4"":289,""5"":255,""6"":364,""7"":423,""8"":436,""9"":316,""10"":396}","{""1"":3,""2"":3,""3"":2,""4"":2}","{""1"":173,""2"":150,""3"":153,""4"":142,""5"":164,""6"":149,""7"":153,""8"":134,""9"":173,""10"":158}",355
104019408,104019,4,8,"{""1"":407,""2"":504,""3"":316,""4"":330,""5"":291,""6"":416,""7"":484,""8"":498,""9"":362,""10"":452}","{""1"":3,""2"":3,""3"":3,""4"":2}","{""1"":173,""2"":165,""3"":153,""4"":157,""5"":164,""6"":164,""7"":153,""8"":149,""9"":173,""10"":173}",406
104019409,104019,4,9,"{""1"":458,""2"":567,""3"":356,""4"":371,""5"":328,""6"":468,""7"":544,""8"":561,""9"":407,""10"":509}","{""1"":3,""2"":3,""3"":3,""4"":3}","{""1"":188,""2"":180,""3"":153,""4"":157,""5"":179,""6"":179,""7"":153,""8"":149,""9"":173,""10"":188}",457
104019410,104019,4,10,"{""1"":509,""2"":630,""3"":395,""4"":412,""5"":364,""6"":520,""7"":605,""8"":623,""9"":452,""10"":565}","{""1"":4,""2"":3,""3"":3,""4"":3}","{""1"":188,""2"":180,""3"":168,""4"":172,""5"":179,""6"":179,""7"":168,""8"":164,""9"":188,""10"":188}",508
104019500,104019,5,0,"{""1"":559,""2"":693,""3"":435,""4"":453,""5"":400,""6"":572,""7"":665,""8"":685,""9"":497,""10"":622}","{""1"":4,""2"":4,""3"":3,""4"":3}","{""1"":188,""2"":180,""3"":168,""4"":172,""5"":179,""6"":194,""7"":183,""8"":179,""9"":188,""10"":188}",558
104019501,104019,5,1,"{""1"":610,""2"":756,""3"":474,""4"":495,""5"":437,""6"":624,""7"":725,""8"":748,""9"":542,""10"":678}","{""1"":4,""2"":4,""3"":4,""4"":3}","{""1"":208,""2"":180,""3"":188,""4"":172,""5"":199,""6"":194,""7"":203,""8"":179,""9"":208,""10"":188}",609
104019502,104019,5,2,"{""1"":712,""2"":882,""3"":553,""4"":577,""5"":510,""6"":728,""7"":846,""8"":872,""9"":633,""10"":791}","{""1"":4,""2"":4,""3"":4,""4"":4}","{""1"":208,""2"":200,""3"":188,""4"":192,""5"":199,""6"":214,""7"":203,""8"":199,""9"":208,""10"":208}",710
104019503,104019,5,3,"{""1"":814,""2"":1008,""3"":632,""4"":660,""5"":582,""6"":832,""7"":967,""8"":997,""9"":723,""10"":904}","{""1"":5,""2"":4,""3"":4,""4"":4}","{""1"":228,""2"":220,""3"":188,""4"":192,""5"":219,""6"":234,""7"":203,""8"":199,""9"":208,""10"":228}",812
104019504,104019,5,4,"{""1"":915,""2"":1134,""3"":711,""4"":742,""5"":655,""6"":936,""7"":1088,""8"":1121,""9"":814,""10"":1017}","{""1"":5,""2"":5,""3"":4,""4"":4}","{""1"":228,""2"":220,""3"":208,""4"":212,""5"":219,""6"":234,""7"":223,""8"":219,""9"":228,""10"":228}",913
104019505,104019,5,5,"{""1"":1017,""2"":1260,""3"":791,""4"":825,""5"":728,""6"":1040,""7"":1209,""8"":1246,""9"":904,""10"":1130}","{""1"":5,""2"":5,""3"":5,""4"":4}","{""1"":228,""2"":220,""3"":208,""4"":232,""5"":239,""6"":254,""7"":223,""8"":239,""9"":248,""10"":228}",1015
104019506,104019,5,6,"{""1"":1119,""2"":1386,""3"":870,""4"":907,""5"":801,""6"":1144,""7"":1330,""8"":1371,""9"":994,""10"":1243}","{""1"":5,""2"":5,""3"":5,""4"":5}","{""1"":248,""2"":240,""3"":228,""4"":232,""5"":239,""6"":254,""7"":243,""8"":239,""9"":248,""10"":248}",1117
104019507,104019,5,7,"{""1"":1220,""2"":1512,""3"":949,""4"":989,""5"":874,""6"":1248,""7"":1451,""8"":1495,""9"":1085,""10"":1356}","{""1"":6,""2"":5,""3"":5,""4"":5}","{""1"":268,""2"":240,""3"":248,""4"":232,""5"":259,""6"":254,""7"":263,""8"":239,""9"":268,""10"":248}",1218
104019508,104019,5,8,"{""1"":1322,""2"":1638,""3"":1028,""4"":1072,""5"":946,""6"":1352,""7"":1572,""8"":1620,""9"":1175,""10"":1469}","{""1"":6,""2"":6,""3"":5,""4"":5}","{""1"":268,""2"":260,""3"":248,""4"":252,""5"":259,""6"":274,""7"":263,""8"":259,""9"":268,""10"":268}",1319
104019509,104019,5,9,"{""1"":1424,""2"":1764,""3"":1107,""4"":1154,""5"":1019,""6"":1456,""7"":1693,""8"":1744,""9"":1266,""10"":1582}","{""1"":6,""2"":6,""3"":6,""4"":5}","{""1"":288,""2"":280,""3"":248,""4"":252,""5"":279,""6"":294,""7"":263,""8"":259,""9"":268,""10"":288}",1421
104019510,104019,5,10,"{""1"":1526,""2"":1890,""3"":1186,""4"":1237,""5"":1092,""6"":1560,""7"":1814,""8"":1869,""9"":1356,""10"":1695}","{""1"":6,""2"":6,""3"":6,""4"":6}","{""1"":288,""2"":280,""3"":268,""4"":272,""5"":279,""6"":294,""7"":283,""8"":279,""9"":288,""10"":288}",1523
104020401,104020,4,1,"{""1"":65,""2"":35,""3"":53,""4"":64,""5"":71,""6"":54,""7"":37,""8"":26,""9"":61,""10"":54}","{""1"":1,""2"":1,""3"":1,""4"":1}","{""1"":128,""2"":87,""3"":111,""4"":111,""5"":124,""6"":107,""7"":107,""8"":102,""9"":116,""10"":107}",52
104020402,104020,4,2,"{""1"":130,""2"":70,""3"":106,""4"":128,""5"":142,""6"":107,""7"":74,""8"":51,""9"":121,""10"":107}","{""1"":2,""2"":1,""3"":1,""4"":1}","{""1"":128,""2"":102,""3"":111,""4"":126,""5"":124,""6"":122,""7"":107,""8"":117,""9"":116,""10"":122}",104
104020403,104020,4,3,"{""1"":195,""2"":104,""3"":158,""4"":191,""5"":213,""6"":161,""7"":110,""8"":77,""9"":182,""10"":161}","{""1"":2,""2"":2,""3"":1,""4"":1}","{""1"":143,""2"":117,""3"":111,""4"":126,""5"":139,""6"":137,""7"":107,""8"":117,""9"":116,""10"":137}",155
104020404,104020,4,4,"{""1"":260,""2"":139,""3"":211,""4"":255,""5"":283,""6"":214,""7"":147,""8"":102,""9"":242,""10"":214}","{""1"":2,""2"":2,""3"":2,""4"":1}","{""1"":143,""2"":117,""3"":126,""4"":141,""5"":139,""6"":137,""7"":122,""8"":132,""9"":131,""10"":137}",207
104020405,104020,4,5,"{""1"":325,""2"":174,""3"":264,""4"":319,""5"":354,""6"":268,""7"":184,""8"":128,""9"":303,""10"":268}","{""1"":2,""2"":2,""3"":2,""4"":2}","{""1"":143,""2"":117,""3"":126,""4"":156,""5"":154,""6"":152,""7"":122,""8"":147,""9"":146,""10"":137}",259
104020406,104020,4,6,"{""1"":390,""2"":209,""3"":317,""4"":383,""5"":425,""6"":321,""7"":221,""8"":153,""9"":364,""10"":321}","{""1"":3,""2"":2,""3"":2,""4"":2}","{""1"":158,""2"":132,""3"":141,""4"":156,""5"":154,""6"":152,""7"":137,""8"":147,""9"":146,""10"":152}",310
104020407,104020,4,7,"{""1"":455,""2"":244,""3"":370,""4"":447,""5"":496,""6"":375,""7"":258,""8"":179,""9"":424,""10"":375}","{""1"":3,""2"":3,""3"":2,""4"":2}","{""1"":173,""2"":132,""3"":156,""4"":156,""5"":169,""6"":152,""7"":152,""8"":147,""9"":161,""10"":152}",362
104020408,104020,4,8,"{""1"":520,""2"":278,""3"":422,""4"":511,""5"":567,""6"":428,""7"":294,""8"":204,""9"":485,""10"":428}","{""1"":3,""2"":3,""3"":3,""4"":2}","{""1"":173,""2"":147,""3"":156,""4"":171,""5"":169,""6"":167,""7"":152,""8"":162,""9"":161,""10"":167}",414
104020409,104020,4,9,"{""1"":585,""2"":313,""3"":475,""4"":574,""5"":638,""6"":482,""7"":331,""8"":230,""9"":545,""10"":482}","{""1"":3,""2"":3,""3"":3,""4"":3}","{""1"":188,""2"":162,""3"":156,""4"":171,""5"":184,""6"":182,""7"":152,""8"":162,""9"":161,""10"":182}",466
104020410,104020,4,10,"{""1"":650,""2"":348,""3"":528,""4"":638,""5"":709,""6"":535,""7"":368,""8"":255,""9"":606,""10"":535}","{""1"":4,""2"":3,""3"":3,""4"":3}","{""1"":188,""2"":162,""3"":171,""4"":186,""5"":184,""6"":182,""7"":167,""8"":177,""9"":176,""10"":182}",517
104020500,104020,5,0,"{""1"":715,""2"":383,""3"":581,""4"":702,""5"":779,""6"":589,""7"":405,""8"":281,""9"":667,""10"":589}","{""1"":4,""2"":4,""3"":3,""4"":3}","{""1"":203,""2"":162,""3"":186,""4"":201,""5"":184,""6"":182,""7"":167,""8"":177,""9"":176,""10"":182}",569
104020501,104020,5,1,"{""1"":780,""2"":418,""3"":634,""4"":766,""5"":850,""6"":642,""7"":442,""8"":306,""9"":727,""10"":642}","{""1"":4,""2"":4,""3"":4,""4"":3}","{""1"":223,""2"":162,""3"":206,""4"":201,""5"":204,""6"":182,""7"":187,""8"":177,""9"":196,""10"":182}",621
